CustomerID,Recency,Frequency,Monetary,AOV,LTV,Predicted_LTV,Segment
12346.0,326,1,77183.6,77183.6,77183.6,76692.97059999987,High
12347.0,2,7,4310.0,615.7142857142857,4310.0,4282.5319,High
12348.0,75,4,1797.24,449.31,1797.24,1796.4526999999994,High
12349.0,19,1,1757.55,1757.55,1757.55,1757.5481999999993,High
12350.0,310,1,334.4,334.4,334.4,334.45340000000033,Mid-Low
12352.0,36,8,2506.04,313.255,2506.04,2485.032000000002,High
12353.0,204,1,89.0,89.0,89.0,89.05759999999998,Low
12354.0,232,1,1079.4,1079.4,1079.4,1083.0960999999995,Mid-High
12355.0,214,1,459.4,459.4,459.4,460.7243000000001,Mid-Low
12356.0,23,3,2811.43,937.1433333333333,2811.43,2816.422899999998,High
12357.0,33,1,6207.67,6207.67,6207.67,27752.289499999984,High
12358.0,2,2,1168.06,584.03,1168.06,1166.0689999999993,Mid-High
12359.0,58,4,6372.58,1593.145,6372.58,6157.762300000002,High
12360.0,52,3,2662.06,887.3533333333334,2662.06,2662.2171999999973,High
12361.0,287,1,189.9,189.9,189.9,190.1423999999999,Low
12362.0,3,10,5226.23,522.6229999999999,5226.23,5198.170599999995,High
12363.0,110,2,552.0,276.0,552.0,551.8802000000001,Mid-Low
12364.0,8,4,1313.1,328.275,1313.1,1310.7521000000017,Mid-High
12365.0,291,2,641.38,320.69,641.38,641.1604999999993,Mid-Low
12367.0,4,1,168.9,168.9,168.9,168.74259999999987,Low
12370.0,51,4,3545.69,886.4225,3545.69,3524.0571,High
12371.0,45,2,1887.96,943.98,1887.96,1889.547,High
12372.0,72,3,1298.04,432.68,1298.04,1298.0527999999974,Mid-High
12373.0,311,1,364.6,364.6,364.6,364.6585,Mid-Low
12374.0,25,1,742.9300000000001,742.9300000000001,742.9300000000001,742.4243999999998,Mid-High
12375.0,11,2,457.5,228.75,457.5,457.8399000000001,Mid-Low
12377.0,315,2,1628.12,814.06,1628.12,1627.508099999999,Mid-High
12378.0,130,1,4008.62,4008.62,4008.62,4475.507199999996,High
12379.0,82,2,852.24,426.12,852.24,852.5475000000002,Mid-High
12380.0,22,4,2724.81,681.2025,2724.81,2724.2968,High
12381.0,5,5,1845.31,369.062,1845.31,1848.7368999999985,High
12383.0,185,5,1850.56,370.11199999999997,1850.56,1850.0420999999988,High
12384.0,29,2,585.27,292.635,585.27,584.5803999999999,Mid-Low
12386.0,338,2,401.9,200.95,401.9,401.12949999999984,Mid-Low
12388.0,16,6,2780.66,463.4433333333333,2780.66,2783.5391000000004,High
12390.0,80,1,549.84,549.84,549.84,549.6471999999993,Mid-Low
12391.0,22,1,460.89,460.89,460.89,460.9443,Mid-Low
12393.0,72,4,1582.6000000000001,395.65000000000003,1582.6000000000001,1584.3490000000006,Mid-High
12394.0,64,2,1272.48,636.24,1272.48,1271.251,Mid-High
12395.0,19,12,3018.63,251.5525,3018.63,3070.9366000000023,High
12397.0,36,2,2409.9,1204.95,2409.9,2344.2528999999977,High
12398.0,46,1,1635.6599999999999,1635.6599999999999,1635.6599999999999,1618.9835000000019,Mid-High
12399.0,119,4,1108.65,277.1625,1108.65,1107.0227999999986,Mid-High
12401.0,303,1,84.3,84.3,84.3,84.7881,Low
12402.0,323,1,225.6,225.6,225.6,225.74640000000022,Low
12403.0,50,1,427.7,427.7,427.7,427.60940000000045,Mid-Low
12405.0,149,1,1710.39,1710.39,1710.39,1710.8136000000031,High
12406.0,22,2,3415.3,1707.65,3415.3,3368.5980199999944,High
12407.0,50,5,1708.1200000000001,341.624,1708.1200000000001,1710.1520999999993,High
12408.0,33,5,2888.55,577.71,2888.55,2874.6155999999983,High
12409.0,79,3,11072.67,3690.89,11072.67,11569.645800000008,High
